Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
A.W. Hamilton,Eastern Kentucky,A-Sun,,17,14,.548,,,,,2018-19,104,88,.542,,,,,,104,88,.542,,,,
Leonard Hamilton *,Florida State,ACC,,17,16,.515,,,,,2002-03,443,281,.612,8,4,,,,643,491,.567,11,5,,
Anfernee Hardaway,Memphis,AAC,,22,10,.688,,,,,2018-19,133,62,.682,2,,,,,133,62,.682,2,,,
Tavaras Hardy,Loyola (MD),Patriot,,7,25,.219,,,,,2018-19,66,110,.375,,,,,,66,110,.375,,,,
Ray Harper,Jacksonville State,CUSA,,14,18,.438,,,,,2016-17,146,112,.566,2,,,,,235,176,.572,4,,,
Jonas Hayes,Georgia State,Sun Belt,,14,17,.452,,,,,2022-23,24,38,.387,,,,,,28,38,.424,,,,
Stan Heath,Eastern Michigan,MAC,,13,18,.419,,,,,2021-22,31,62,.333,,,,,,240,269,.472,4,1,,
Shane Heirman,Incarnate Word,Southland,,8,23,.258,,,,,2023-24,8,23,.258,,,,,,8,23,.258,,,,
Eric Henderson,South Dakota State,Summit,,22,13,.629,,,Lost First Round,,2019-20,109,48,.694,2,,,,,109,48,.694,2,,,
Mitch Henderson,Princeton,Ivy,,24,5,.828,,,,,2011-12,232,122,.655,2,1,,,,232,122,.655,2,1,,
Charlie Henry,Georgia Southern,Sun Belt,,9,24,.273,,,,,2023-24,9,24,.273,,,,,,9,24,.273,,,,
Steve Henson,UTSA,AAC,,11,21,.344,,,,,2016-17,110,144,.433,,,,,,110,144,.433,,,,
Talvin Hester,Louisiana Tech,CUSA,,22,10,.688,,,,,2022-23,37,28,.569,,,,,,37,28,.569,,,,
Ross Hodge,North Texas,AAC,,19,15,.559,,,,,2023-24,19,15,.559,,,,,,19,15,.559,,,,
Bryan Hodgson,Arkansas State,Sun Belt,,20,17,.541,,,,,2023-24,20,17,.541,,,,,,20,17,.541,,,,
Fred Hoiberg,Nebraska,Big Ten,,23,11,.676,,,Lost First Round,,2019-20,63,94,.401,1,,,,,178,150,.543,5,1,,
Shaheen Holloway,Seton Hall,Big East,,25,12,.676,,,,,2022-23,42,28,.600,,,,,,106,82,.564,1,1,,
Chris Holtmann,Ohio State,Big Ten,,14,11,.560,,,,,2017-18,137,86,.614,4,,,,,251,171,.595,7,1,,
Jason Hooten,New Mexico State,CUSA,,13,19,.406,,,,,2023-24,13,19,.406,,,,,,274,188,.593,,,,
Mike Hopkins,Washington,Pac-12,,17,15,.531,,,,,2017-18,118,106,.527,,,,,,122,111,.524,1,,,
Darrin Horn,Northern Kentucky,Horizon,,18,15,.545,,,,,2019-20,97,60,.618,1,,,,,268,171,.610,2,1,,
Juwan Howard,Michigan,Big Ten,,8,24,.250,,,,,2019-20,87,72,.547,2,2,,,,87,72,.547,2,2,,
Otis Hughley Jr.,Alabama A&M,SWAC,,12,23,.343,,,,,2022-23,27,41,.397,,,,,,27,41,.397,,,,
Ron Hunter,Tulane,AAC,,14,17,.452,,,,,2019-20,70,74,.486,,,,,,462,348,.570,4,,,
Bobby Hurley,Arizona State,Pac-12,,14,18,.438,,,,,2015-16,155,131,.542,3,,,,,197,151,.566,4,,,
Dan Hurley,UConn,Big East,,37,3,.925,6,1,Won National Final,,2018-19,141,58,.709,4,2,2,2,,292,163,.642,6,2,2,2
Alan Huss,High Point,Big South,,27,9,.750,,,,,2023-24,27,9,.750,,,,,,27,9,.750,,,,
Justin Hutson,Fresno State,MWC,,12,21,.364,,,,,2018-19,92,94,.495,,,,,,92,94,.495,,,,
Martin Ingelsby,Delaware,CAA,,19,14,.576,,,,,2016-17,131,117,.528,1,,,,,131,117,.528,1,,,
George Ivory,Mississippi Valley State,SWAC,,1,30,.032,,,,,2022-23,6,57,.095,,,,,,146,326,.309,1,,,
Tom Izzo,Michigan State,Big Ten,,20,15,.571,4,,Lost Second Round,,1995-96,707,295,.706,26,15,8,1,,707,295,.706,26,15,8,1
Donte Jackson,Grambling,SWAC,,21,15,.583,,,Lost First Round,,2017-18,120,102,.541,1,,,,,120,102,.541,1,,,
Ben Jacobson,Northern Iowa,MVC,,19,14,.576,,,,,2006-07,354,233,.603,4,1,,,,354,233,.603,4,1,,
Chris Jans,Mississippi State,SEC,,21,14,.600,,,Lost First Round,,2022-23,42,27,.609,2,,,,,185,71,.723,5,,,
Rob Jeter,Southern Utah,WAC,,10,21,.323,,,,,2023-24,10,21,.323,,,,,,233,236,.497,2,,,
Ben Johnson,Minnesota,Big Ten,,19,15,.559,,,,,2021-22,41,54,.432,,,,,,41,54,.432,,,,
Kevin Johnson,Southern,SWAC,,18,14,.562,,,,,2023-24,18,14,.562,,,,,,83,114,.421,,,,
Stan Johnson,Loyola Marymount,WCC,,12,19,.387,,,,,2020-21,55,58,.487,,,,,,55,58,.487,,,,
Terrence Johnson,Texas State,Sun Belt,,17,18,.486,,,,,2020-21,72,52,.581,,,,,,72,52,.581,,,,
Donnie Jones *,Stetson,A-Sun,,22,13,.629,,,Lost First Round,,2019-20,78,78,.500,1,,,,,233,207,.530,1,,,
James Jones,Yale,Ivy,,23,10,.697,,,Lost Second Round,,1999-00,396,311,.560,4,,,,,396,311,.560,4,,,
Jeff Jones,Old Dominion,Sun Belt,,3,6,.333,,,,,2013-14,203,131,.608,1,,,,,560,418,.573,8,2,,
Joe Jones,Boston University,Patriot,,16,17,.485,,,,,2011-12,218,191,.533,,,,,,304,299,.504,,,,
Johnny Jones,Texas Southern,SWAC,,16,17,.485,,,,,2018-19,106,90,.541,3,,,,,401,324,.553,6,,,
Mike Jones,UNC Greensboro,Southern,,21,11,.656,,,,,2021-22,58,38,.604,,,,,,232,188,.552,1,,,
Robert Jones,Norfolk State,MEAC,,24,11,.686,,,,,2013-14,212,148,.589,2,,,,,212,148,.589,2,,,
Edward Joyner Jr,Hampton,CAA,,9,24,.273,,,,,2009-10,222,257,.463,3,,,,,222,257,.463,3,,,
Jon Judkins,Utah Tech,WAC,,11,20,.355,,,,,2020-21,46,70,.397,,,,,,46,70,.397,,,,
Greg Kampe,Oakland,Horizon,,24,12,.667,,,Lost Second Round,,1999-00,437,373,.540,4,,,,,437,373,.540,4,,,
Kevin Keatts,NC State,ACC,,26,15,.634,,10,Lost National Semifinal,,2017-18,139,94,.597,3,1,1,,,211,122,.634,5,1,1,
Kyle Keller *,Stephen F. Austin,WAC,,18,15,.545,,,,,2016-17,163,84,.660,1,,,,,163,84,.660,1,,,
Pat Kelsey,College of Charleston,CAA,,27,8,.771,,,Lost First Round,,2021-22,75,27,.735,2,,,,,261,122,.681,4,,,
Andy Kennedy,UAB,AAC,,23,12,.657,,,Lost First Round,,2020-21,101,37,.732,2,,,,,367,206,.640,4,,,
Dustin Kerns,Appalachian State,Sun Belt,,27,7,.794,,,,,2019-20,97,65,.599,1,,,,,128,102,.557,1,,,
David Kiefer,Southeastern Louisiana,Southland,,15,17,.469,,,,,2019-20,68,87,.439,,,,,,68,87,.439,,,,
