Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
George Ivory,Mississippi Valley State,SWAC,,5,27,.156,,,,,2022-23,5,27,.156,,,,,,145,296,.329,1,,,
Tom Izzo,Michigan State,Big Ten,,21,13,.618,,,Lost Regional Semifinal,,1995-96,687,280,.710,25,15,8,1,,687,280,.710,25,15,8,1
Donte Jackson,Grambling,SWAC,,24,9,.727,,,,,2017-18,99,87,.532,,,,,,99,87,.532,,,,
Ben Jacobson,Northern Iowa,MVC,,14,18,.438,,,,,2006-07,335,219,.605,4,1,,,,335,219,.605,4,1,,
Nate James,Austin Peay,A-Sun,,9,22,.290,,,,,2021-22,21,39,.350,,,,,,21,39,.350,,,,
Chris Jans,Mississippi State,SEC,,21,13,.618,,,Lost First Four,,2022-23,21,13,.618,1,,,,,164,57,.742,4,,,
Rob Jeter,Western Illinois,Summit,,16,14,.533,,,,,2020-21,39,45,.464,,,,,,223,215,.509,2,,,
Ben Johnson,Minnesota,Big Ten,,9,22,.290,,,,,2021-22,22,39,.361,,,,,,22,39,.361,,,,
Royce Johnson,UT Arlington,WAC,,2,5,.286,,,,,2022-23,2,5,.286,,,,,,2,5,.286,,,,
Stan Johnson,Loyola Marymount,WCC,,19,12,.613,,,,,2020-21,43,39,.524,,,,,,43,39,.524,,,,
Terrence Johnson,Texas State,Sun Belt,,16,19,.457,,,,,2020-21,55,34,.618,,,,,,55,34,.618,,,,
Trent Johnson,Cal State Northridge,Big West,,7,25,.219,,,,,2021-22,14,48,.226,,,,,,290,313,.481,5,2,,
Donnie Jones *,Stetson,A-Sun,,17,14,.548,,,,,2019-20,56,65,.463,,,,,,211,194,.521,,,,
James Jones,Yale,Ivy,,21,9,.700,,,,,1999-00,373,301,.553,3,,,,,373,301,.553,3,,,
Jeff Jones,Old Dominion,Sun Belt,,19,12,.613,,,,,2013-14,200,125,.615,1,,,,,557,412,.575,8,2,,
